vowsls_designation_id,sls_designation_id,desig,note
1679,2023,SAFETY OPERATOR,
1680,2024,SAFETY MAZDOOR,
1682,2025,CHIEF ENGINEER,
1683,2026,COMMERCIAL MANAGER,
1684,2027,STOCK CHECKING,
1685,2028,STOCK CHECKING,
1686,2029,LINE WASTAGE BREAKER CARD FEEDER,
1687,2030,INTER RECEIVER,
1688,2031,DRAW HEAD FEEDER,
1689,1689,PRODUCTION MANAGER,pre-existing
