vowsls_mechine_id,sls_machine_id,machine_name
1032,3286,S284
1033,3287,S285
1034,3288,S286
1035,3289,S287
1036,3290,S288
1037,3291,S289
1038,3292,S290
1039,3293,S291
1040,3294,S292
1041,3295,S293
1042,3296,S294
1043,3297,S295
1044,3298,S296
1045,3299,S297
1046,3300,S298
1047,3301,S299
1048,3302,S300
1049,3303,S301
1050,3304,S302
1051,3305,S303
1052,3306,S304
1053,3307,S305
1054,3308,S306
1055,3309,S307
1056,3310,S308
1057,3311,S309
1058,3312,S310
1059,3313,S311
1060,3314,S312
1061,3315,S313
1062,3316,S314
1063,3317,S315
1064,3318,S316
1065,3319,S317
1066,3320,S318
1067,3321,S319
1068,3322,S320
1069,3323,S321
1070,3324,S322
1071,3325,S323
1072,3326,S324
1073,3327,S325
1074,3328,S326
1075,3329,S327
1076,3330,S328
1077,3331,S329
1078,3332,S330
1079,3333,S331
1080,3334,S332
1081,3335,S333
1082,3336,S334
1083,3337,S335
1084,3338,S336
1085,3339,S337
1086,3340,S338
1087,3341,S339
1088,3342,S340
1089,3343,S341
1090,3344,S342
1091,3345,S343
1092,3346,S344
1093,3347,S345
1094,3348,S346
1095,3349,S347
1096,3350,S348
1097,3351,S349
1098,3352,S350
1099,3353,S351
1100,3354,S352
1101,3355,S353
1102,3356,S354
1103,3357,S355
1104,3358,S356
1105,3359,S357
1106,3360,S358
1107,3361,S359
1108,3362,S360
1109,3363,S361
1110,3364,S362
1111,3365,S363
1112,3366,S364
1113,3367,S365
1114,3368,S366
1115,3369,S367
1116,3370,S368
1117,3371,S369
1118,3372,S370
1119,3373,S371
1120,3374,S372
1121,3375,S373
1122,3376,S374
1123,3377,S375
1124,3378,S376
1125,3379,S377
1126,3380,S378
1127,3381,S379
1128,3382,S380
1129,3383,S381
1130,3384,S382
1131,3385,S383
1132,3386,S384
1133,3387,S385
1134,3388,S386
1135,3389,S387
1136,3390,S388
1137,3391,S389
1138,3392,S390
1139,3393,S391
1140,3394,S392
1141,3395,S393
1142,3396,S394
1143,3397,S395
1144,3398,S396
1145,3399,S397
1146,3400,S398
1147,3401,S399
1148,3402,S400
1149,3403,S401
1150,3404,S402
1151,3405,S403
1152,3406,S404
1153,3407,S405
1154,3408,S406
1155,3409,S407
1156,3410,S408
1157,3411,S409
1158,3412,S410
1159,3413,S411
1160,3414,S412
1161,3415,S413
1162,3416,S414
1163,3417,S415
1164,3418,S416
1165,3419,S417
1166,3420,S418
1167,3421,S419
1168,3422,S420
1169,3423,S421
1170,3424,S422
1171,3425,S423
1172,3426,S424
1173,3427,S425
1174,3428,S426
1175,3429,S427
1176,3430,S428
1177,3431,S429
1178,3432,S430
1179,3433,S431
1180,3434,S432
1181,3435,S433
1182,3436,S434
1183,3437,S435
1184,3438,S436
1185,3439,S437
1186,3440,S438
1187,3441,S439
1188,3442,S440
1189,3443,S441
1190,3444,S442
1191,3445,S443
1192,3446,S444
1193,3447,S445
1194,3448,S446
1195,3449,S447
1196,3450,S448
1197,3451,S449
1198,3452,S450
1199,3453,S451
1200,3454,S452
1201,3455,S453
1202,3456,S454
1203,3457,S455
1204,3458,S456
1205,3459,S457
1206,3460,S458
1207,3461,S459
1208,3462,S460
1209,3463,S461
1210,3464,S462
1211,3465,S463
1212,3466,S464
1213,3467,S465
1214,3468,S466
1215,3469,S467
1216,3470,S468
1217,3471,S469
1218,3472,S470
1219,3473,S471
1220,3474,S472
1221,3475,S473
1222,3476,S474
1223,3477,S475
1224,3478,S476
1225,3479,S477
1226,3480,S478
1227,3481,S479
1228,3482,S480
1229,3483,S481
1230,3484,S482
1246,3485,S483
1247,3486,S484
1248,3487,BALES(CUTTING)
1263,3488,SARDAR LINE 1
1264,3489,SARDARLINE 2
1265,3490,SARDARLINE 3
1266,3491,SARDARLINE 4
1267,3492,SARDARLINE5
1268,3493,SARDARLINE6
1269,3494,SARDARLINE7
1270,3495,SARDARLINE8
1271,3496,SARDARLINE9
1272,3497,SARDARLINE10
1273,3498,SARDARLINE11
1274,3499,SARDARLINE12
1275,3500,SARDARLINE13
1276,3501,SARDARLINE14
1277,3502,SARDARLINE15
1278,3503,SARDARLINE16
1279,3504,SARDARLINE17
1280,3505,SARDARLINE18
1281,3506,SARDARLINE19
1282,3507,SARDARLINE20
1283,3508,HELPER LINE 1
1284,3509,HELPER LINE 2
1285,3510,HELPER LINE 3
1286,3511,HELPER LINE 4
1287,3512,HELPER LINE 5
1288,3513,HELPER LINE 6
1289,3514,HELPER LINE 7
1290,3515,HELPER LINE 8
1291,3516,HELPER LINE 9
1292,3517,HELPER LINE 10
1293,3518,HELPER LINE 11
1294,3519,HELPER LINE 12
1295,3520,HELPER LINE 13
1296,3521,HELPER LINE 14
1297,3522,HELPER LINE 15
1298,3523,HELPER LINE 16
1299,3524,HELPER LINE 17
1300,3525,HELPER LINE 18
1301,3526,HELPER LINE 19
1302,3527,HELPER LINE 20
1303,3528,PRESS PUMP -1
1473,3529,S485
1474,3530,S486
1475,3531,S487
1476,3532,S488
1477,3533,S489
1478,3534,S490
1490,3535,Winding 1A
1491,3536,Winding 1B
1492,3537,Winding 1C
1493,3538,Winding 1D
1494,3539,Winding 6A
1495,3540,Winding 6B
1496,3541,Winding 6C
1497,3542,Winding 6D
1498,3543,Winding 9A
1499,3544,Winding 9B
1500,3545,Winding 9C
1501,3546,Winding 9D
1502,3547,Winding 8A
1503,3548,Winding 8B
1504,3549,Winding 8C
1505,3550,Winding 8D
1506,3551,Winding 2A
1507,3552,Winding 2B
1508,3553,Winding 2C
1509,3554,Winding 2D
1510,3555,FRAME -31
1511,3556,FRAME -32
1512,3557,FRAME -33
1513,3558,PRESS PUMP -2
1535,3559,Inter Spreader 6
1536,3560,Inter Spreader 7
1553,3561,FRAME -35
1593,3562,N/S FRAME NO - 1
1594,3563,N/S FRAME NO - 2
1595,3564,N/S FRAME NO - 3
1596,3565,N/S FRAME NO -4
1597,3566,N/S FRAME NO - 5
1598,3567,N/S FRAME NO - 6
1599,3568,TWISTING M/C - 1
1600,3569,TWISTING M/C - 2
1601,3570,REELING M/C - 1
1602,3571,REELING M/C - 2
2929,3572,FRAME-34
