vowsls_company_id,vowsls_quality_id,quality_code,sls_weaving_quality_id
2,324,1672,311
2,325,1673,312
2,326,1674,313
2,327,2420,314
2,328,2642,315
2,329,2643,316
2,330,1675,317
2,331,1676,318
2,332,1677,319
2,333,1678,320
2,334,2645,321
2,335,1679,322
2,336,1680,323
2,337,1681,324
2,338,1682,325
2,339,1683,326
2,340,1684,327
2,341,1685,328
2,342,1686,329
2,343,1687,330
2,344,1688,331
2,345,1689,332
2,346,1690,333
2,347,1691,334
2,348,3142,335
2,349,1692,336
2,350,1693,337
2,351,1694,338
2,352,1695,339
2,353,1696,340
2,354,3143,341
2,355,3144,342
2,356,1697,343
2,357,1698,344
2,358,1699,345
2,359,2646,346
2,360,1700,347
2,361,1701,348
2,362,1702,349
2,363,1703,350
2,364,1704,351
2,365,1705,352
2,366,1706,353
2,367,1707,354
2,368,1708,355
2,369,1709,356
2,370,1710,357
2,371,1711,358
2,372,3145,359
2,373,1712,360
2,374,1713,361
2,375,2647,362
2,376,2648,363
2,377,2649,364
2,378,1714,365
2,379,1715,366
2,380,2650,367
2,381,2651,368
2,382,1716,369
2,383,2652,370
2,384,1717,371
2,385,1718,372
2,386,1719,373
2,387,1720,374
2,388,1721,375
2,389,1722,376
2,390,1723,377
2,391,1724,378
2,392,1725,379
2,393,2653,380
2,394,2654,381
2,395,2655,382
2,396,2656,383
2,397,2657,384
2,398,2658,385
2,399,1726,386
2,400,2659,387
2,401,1727,388
2,402,1728,389
2,403,2660,390
2,404,1729,391
2,405,2661,392
2,406,2662,393
2,407,2663,394
2,408,2664,395
2,409,2665,396
2,410,1730,397
2,411,2666,398
2,412,1731,399
2,413,2667,400
2,414,1732,401
2,415,2668,402
2,416,2669,403
2,417,1733,404
2,418,1734,405
2,419,1735,406
2,420,1736,407
2,421,1737,408
2,422,1738,409
2,423,1739,410
2,424,3146,411
2,425,1740,412
2,426,1741,413
2,427,3147,414
2,428,1742,415
2,429,1743,416
2,430,1744,417
2,431,1745,418
2,432,1746,419
2,433,1747,420
2,434,1748,421
2,435,1749,422
2,436,1750,423
2,437,1751,424
2,438,1752,425
2,439,1753,426
2,471,2670,427
2,440,2670,427
2,441,1754,428
2,442,1755,429
2,443,1756,430
2,444,1757,431
2,445,1758,432
2,446,1759,433
2,447,2671,434
2,448,2672,435
2,449,2673,436
2,450,2674,437
2,451,2675,438
2,452,1760,439
2,453,1761,440
2,454,1762,441
2,455,1763,442
2,456,2676,443
2,457,1764,444
2,458,1765,445
2,459,1766,446
2,460,1767,447
2,461,1768,448
2,462,1769,449
2,463,1770,450
2,464,1771,451
2,465,1772,452
2,466,1773,453
2,467,1774,454
2,468,2677,455
2,469,2678,456
2,470,2679,457
2,471,2670,458
2,440,2670,458
2,472,2680,459
2,473,1775,460
2,474,1776,461
2,475,1777,462
2,476,1778,463
2,477,1779,464
2,478,1780,465
2,481,1781,466
2,482,1001,467
2,483,1002,468
2,484,1003,469
2,485,1004,470
2,486,1005,471
2,487,1006,472
2,488,1007,473
2,489,1785,474
2,490,2682,475
2,497,1782,476
2,498,1790,477
2,500,119013,478
2,501,110117,479
2,506,10001,480
2,511,2999,481
2,524,1791,482
2,528,110124,483
2,529,111189,484
2,530,112194,485
2,531,110118,486
2,532,111193,487
2,533,111190,488
2,534,112193,489
2,535,112199,490
2,536,112179,491
2,537,112200,492
2,538,419007,493
2,539,119017,494
2,540,119018,495
2,541,312088,496
2,542,312089,497
2,543,313706,498
2,544,119017111,499
2,545,111190111,500
2,547,110124111,501
2,546,110124111,501
2,547,110124111,502
2,546,110124111,502
2,549,313718,503
2,550,119023,504
2,605,312086,505
2,606,313710,506
2,607,2683,507
2,608,110110,508
2,609,2684,509
2,610,119020,510
2,611,119024,511
2,612,2685,512
2,613,111194,513
2,614,1787,514
2,615,312087,515
2,616,313716,516
1,1,22905,517
1,2,33009,518
1,3,2M239,519
1,4,22912,520
1,5,24007,521
1,6,2M230,522
1,7,24008,523
1,8,2M231,524
1,9,24009,525
1,10,24010,526
1,11,33014,527
1,12,2M233,528
1,13,33015,529
1,14,33016,530
1,15,2M212,531
1,16,2M210,532
1,479,2A272,533
1,480,22913,534
1,491,33010,535
1,493,20632,536
1,494,22914,537
1,495,22915,538
1,496,2M234,539
1,499,SPNG1,540
1,502,22916,541
1,503,22917,542
1,504,24011,543
1,505,22918,544
1,507,24012,545
1,508,22919,546
1,509,22920,547
1,514,11101121,548
1,515,11003122,549
1,516,11403221,550
1,517,21052111,551
1,518,21101111,552
1,519,21802123,553
1,520,32002112,554
1,521,11053122,555
1,523,21402111,556
1,525,2M950,557
1,527,2M951,558
1,551,2M335,559
1,552,21902112,560
1,553,21405123,561
1,554,2M336,562
1,601,2M402,563
1,602,2M401,564
